iter,time,reward,steps,convergence
1,0.0009279790000391586,-13908.8,300.0,90.11
2,0.0018000050000637202,-15185.6,300.0,80.262872490467
3,0.002745332000131384,-41105.6,300.0,71.37906815706978
4,0.0035528910001403347,-18180.8,300.0,62.48008573870162
5,0.0043336980002095515,-15675.2,300.0,52.63436601057075
6,0.005110259000275619,-22856.0,300.0,42.788001942100905
7,0.005886565000309929,-22347.2,300.0,33.898001942100905
8,0.006690186000355425,-18555.2,300.0,24.065043282464032
9,0.007507343000384026,-13428.8,300.0,15.173469645961273
10,0.008273709000377494,-13976.0,300.0,6.240168780370977
11,0.009029455000359121,-12795.2,300.0,6.258583022331422
12,0.009852556000396362,-13304.0,300.0,7.212683560854421
13,0.010693307000337882,-12104.0,300.0,7.218691694498733
14,0.011693242000319515,-12219.2,300.0,7.236650000879237
15,0.012490605000266441,-12766.4,300.0,7.2581416073971825
16,0.013307518000260643,-12267.2,300.0,7.2796460616051615
17,0.014077582000254552,-11960.0,300.0,6.326905022351538
18,0.014918750000219916,-12785.6,300.0,6.332380316087952
19,0.015734178000229804,-13496.0,300.0,6.341287739292932
20,0.016701963000173237,-13092.8,300.0,6.384126548644213
21,0.01746708900009253,-15819.2,300.0,5.415608501330918
22,0.018238311000004614,-12056.0,300.0,5.41422791677785
23,0.019013411000059932,-12382.4,300.0,5.4034486139166935
24,0.019997119000095154,-12084.8,300.0,5.394396883891814
25,0.020828148000077817,-11960.0,300.0,5.383798603338184
26,0.02162509500010401,-17067.2,300.0,6.313734727121575
27,0.02244143200016424,-12593.6,300.0,6.341584055311617
28,0.023375340000143296,-12430.4,300.0,7.26334990437905
29,0.02414325900019776,-12286.4,300.0,6.299836852617262
30,0.024915766000162876,-12468.8,300.0,6.295926704440235
31,0.02573096800017538,-14916.8,300.0,6.298245948417069
32,0.026533820000167907,-16308.8,300.0,5.369503885218589
33,0.027325664000159122,-12238.4,300.0,5.360343767877318
34,0.028207308000105513,-11960.0,300.0,5.355141680946872
35,0.02897640100013632,-12017.6,300.0,6.293879038292035
36,0.02988006700013557,-12065.6,300.0,5.3689371128704915
37,0.030651599000179885,-11979.2,300.0,5.347038575557909
38,0.03153100000020004,-12046.4,300.0,4.432181778258404
39,0.03248717300016324,-11960.0,300.0,5.358153028333759
40,0.03325734800023383,-11998.4,300.0,5.3753812031392965
41,0.03402937000021211,-12075.2,300.0,5.376226064247456
42,0.03489290600020922,-12065.6,300.0,6.296328240335742
43,0.03593195300027219,-12200.0,300.0,6.290698789898458
44,0.036815058000343015,-11969.6,300.0,5.353802120697697
45,0.03757074500026647,-12267.2,300.0,4.417609823307912
46,0.038376943000344,-11979.2,300.0,5.317321741409954
47,0.03924701700032074,-12036.8,300.0,5.334934034482044
48,0.04007673000023715,-11960.0,300.0,5.361429656256674
49,0.04082391800022833,-16692.8,300.0,5.386650750890748
50,0.041846358000157124,-12929.6,300.0,4.420888225163986
51,0.042668739000191636,-11960.0,300.0,4.46240856258317
52,0.04359134400010589,-12286.4,300.0,4.439496189027013
53,0.04437885500010452,-12161.6,300.0,4.448833919341652
54,0.045206014000086725,-12296.0,300.0,5.3900991676783985
55,0.0460529410000845,-12142.4,300.0,6.347460986357965
56,0.046884200000135934,-32888.0,300.0,5.442908671193038
57,0.04779551700005413,-17825.6,300.0,6.37506303139787
58,0.0486085910000611,-11960.0,300.0,7.263980834667784
59,0.04941358000007767,-12430.4,300.0,7.275519415789614
60,0.050187083000082566,-12257.6,300.0,8.233335780473883
61,0.050933940000049915,-12027.2,300.0,8.229973387526258
62,0.051736784000127045,-12075.2,300.0,7.352724629253785
63,0.05252992900011577,-11988.8,300.0,7.3797408837374245
64,0.053330556000219076,-12574.4,300.0,7.402960876687493
65,0.05412643000022399,-12084.8,300.0,6.430966611166714
66,0.05486824000024626,-12036.8,300.0,7.367983814850204
67,0.05564117800031454,-12017.6,300.0,7.32996231338428
68,0.0564135070002294,-12228.8,300.0,7.30573913756191
69,0.057209671000236995,-12344.0,300.0,6.380874012911836
70,0.05799994500023331,-14331.2,300.0,6.366587986120378
71,0.05893464000030235,-14945.6,300.0,7.258348755885649
72,0.05967904400040425,-13352.0,300.0,7.252139702198244
73,0.060474723000425,-11979.2,300.0,7.256438569651074
74,0.061223955000400565,-11960.0,300.0,6.282439930897558
75,0.06208560800041596,-11960.0,300.0,6.334959437538442
76,0.06298550700034866,-12353.6,300.0,5.412184612437334
77,0.06373863200030883,-12776.0,300.0,5.382496062686776
78,0.06450898200034771,-12142.4,300.0,5.42188012759713
79,0.06530097300037596,-12180.8,300.0,6.322844698374044
80,0.06611342900032469,-11960.0,300.0,6.323952211909974
81,0.06688481400033197,-11960.0,300.0,6.329900556310426
82,0.06765348600038124,-12248.0,300.0,6.34951790976905
83,0.06876191800040488,-12046.4,300.0,6.301672221784598
84,0.069767384000329,-13092.8,300.0,6.349828818034682
85,0.0705822000002172,-12075.2,300.0,7.279340586383
86,0.07141116100024192,-12171.2,300.0,7.244248565287558
87,0.07221736600024542,-12017.6,300.0,7.334807853188481
88,0.07328445000018746,-12008.0,300.0,6.418313108721847
89,0.07420025500016436,-11969.6,300.0,6.439744657800735
90,0.07514619300013692,-12027.2,300.0,6.427743584605324
91,0.07595262100005584,-12084.8,300.0,6.450360209017342
92,0.07670900000005076,-12075.2,300.0,6.434807801754627
93,0.0775610590001179,-12132.8,300.0,6.474972343101848
94,0.07835184700013542,-11998.4,300.0,7.371162608980842
95,0.07920341600004122,-12593.6,300.0,6.39030508184346
96,0.08012883500009593,-13784.0,300.0,6.445511878898779
97,0.08116838500006907,-11998.4,300.0,5.511756310553441
98,0.08196404100010568,-12209.6,300.0,6.427960306550022
99,0.08276652200004264,-16558.4,300.0,5.4680131444321995
100,0.08375393899996197,-11979.2,300.0,5.501837665263072
101,0.08458992400005627,-12142.4,300.0,4.581807512302964
102,0.0853879850001249,-13102.4,300.0,4.540407346849187
103,0.08617875900006311,-13745.6,300.0,4.549997021587061
104,0.08699114400008057,-15387.2,300.0,3.6475834273057215
105,0.08784398200009491,-12420.8,300.0,3.691266785808839
106,0.08867478200011192,-12075.2,300.0,3.635457033421577
107,0.08945421000009901,-17729.6,300.0,4.521223647732414
108,0.09022487400011414,-11960.0,300.0,3.6084098102667967
109,0.09099398000012116,-14878.4,300.0,3.6092697298046943
110,0.09174278400007552,-11960.0,300.0,2.6859744745866463
111,0.09279113300010522,-11969.6,300.0,2.6783504312981163
112,0.09358635400019466,-12478.4,300.0,2.677442674877507
113,0.09435425200013015,-11960.0,300.0,1.7213338313200577
114,0.09515790500017829,-12152.0,300.0,1.7018567411470364
115,0.09595367500025986,-12516.8,300.0,2.6374580376683965
116,0.09673625200025526,-12488.0,300.0,2.674771641445701
117,0.09751497000024756,-12056.0,300.0,2.6331892744411456
118,0.09829922400024316,-11979.2,300.0,3.5495245423039776
119,0.09913248400016528,-12075.2,300.0,4.491364337551841
120,0.09989994700015359,-12257.6,300.0,4.445772327334484
121,0.10068038000008528,-11960.0,300.0,4.453170859082131
122,0.10153300900014983,-12094.4,300.0,5.389942675280809
123,0.10232526500010408,-11960.0,300.0,5.3584420686885945
124,0.10319204600011744,-11960.0,300.0,6.274106642439251
125,0.10399235400007001,-11979.2,300.0,5.295684477136176
126,0.10478143200009526,-12814.4,300.0,6.236080485072911
127,0.10553294200008168,-12603.2,300.0,6.311283072295486
128,0.10646479900015038,-36747.2,300.0,6.251127025168064
129,0.10721831100011059,-12017.6,300.0,6.2408399127709515
130,0.10796928100012337,-12094.4,300.0,6.301228137123028
131,0.10874597800011543,-12132.8,300.0,7.2417480681468
132,0.109568986000113,-11979.2,300.0,6.308255144831962
133,0.11036162400012017,-12219.2,300.0,6.350956788062004
134,0.11116647100016053,-12315.2,300.0,6.334706887513477
135,0.11193951400014157,-15320.0,300.0,6.378667525295306
136,0.11271223900018867,-11979.2,300.0,6.397476979668388
137,0.11348774600014622,-11979.2,300.0,5.462941519051016
138,0.11430215300015334,-12603.2,300.0,4.599099068738543
139,0.11511124000014661,-11979.2,300.0,3.6993157700486163
140,0.11587934300007419,-12248.0,300.0,3.6337243070943614
141,0.11668359899999814,-11969.6,300.0,2.7047454642578463
142,0.11747580200005814,-13851.2,300.0,3.688673723610779
143,0.1182442470001206,-15406.4,300.0,3.6923463568838217
144,0.11901178100015386,-12152.0,300.0,2.8134248635550057
145,0.1199162210001532,-18257.6,300.0,2.823123545066951
