iter,time,reward,steps,convergence
1,0.0012200359999496868,-23960.0,300.0,182.72198699999998
2,0.002024810999955662,-12641.6,300.0,261.921987
3,0.0028660479999871313,-12286.4,300.0,347.4843383281347
4,0.0036342349999358703,-12507.2,300.0,426.94191832813465
5,0.004495062999922084,-11960.0,300.0,506.1419183281347
6,0.0054136609999204666,-12209.6,300.0,499.51334362203215
7,0.006159473000025173,-11969.6,300.0,568.2968676782934
8,0.006977203000133159,-12190.4,300.0,648.4761808758349
9,0.007893065000189381,-12027.2,300.0,727.6761808758349
10,0.00868636800009881,-12065.6,300.0,735.7761808758348
11,0.009446963000300457,-12027.2,300.0,648.3279955158348
12,0.010395023000455694,-11998.4,300.0,621.157189433484
13,0.011198722000472117,-11988.8,300.0,620.0979761943624
14,0.012188902000389135,-15579.2,300.0,533.3403790366568
15,0.013082575000225916,-12036.8,300.0,603.7643087456714
16,0.013590230000318115,-11960.0,300.0,608.7923353791814
17,0.014440787000239652,-11979.2,300.0,597.0980164328165
18,0.015220106000242595,-12190.4,300.0,544.3401969964882
19,0.01598533800029145,-12040.2,299.64,465.72081948870084
20,0.016764912000098775,-11930.0,299.32,540.1052118831219
21,0.017248590000008335,-11969.6,300.0,625.9980662356486
22,0.018148701999962213,-12852.8,284.72,652.662929315986
23,0.019257228999777,-14002.2,299.73,708.7388605535886
24,0.019899395999800618,-11975.8,299.71,713.9029788451112
25,0.020645005999767818,-12035.0,299.27,648.6919904756232
26,0.021388170999671274,-11979.2,300.0,647.5255126307146
27,0.022119359999805965,-11913.0,298.62,580.7284637227198
28,0.02248423399987587,-12027.2,300.0,559.3365719626855
29,0.023243692999812993,-12719.0,297.31,557.8481555862833
30,0.023572931999751745,-9083.2,217.33,474.42171313931493
31,0.02432311699976708,-11432.8,267.34,397.50449511173804
32,0.024860460999661882,-11911.8,298.59,318.3454464095104
33,0.025285651999865877,-11625.8,290.76,175.89151111178032
34,0.02587695099987286,-13983.4,207.38,290.01573309707686
35,0.0260595499998999,-7884.0,190.95,349.1208984486017
36,0.02703945999996904,-11405.8,252.51,434.09549497292346
37,0.02725681399988389,-10886.4,217.08,446.421999706726
38,0.02836538199971983,-5570.6,123.46,430.8485304742644
39,0.028591701999857833,-4317.8,73.22,436.4973844331986
40,0.028782921999891187,-7150.0,150.46,435.4151769444926
41,0.029169774999900255,-8508.4,214.84,427.77243916698944
42,0.02936814199983928,-10289.4,258.12,429.1104208914611
43,0.029613090999873748,-7802.2,197.02,429.0936892942007
44,0.029821385999866834,-6560.4,164.49,404.92722847537846
45,0.030781339999748525,-10735.8,269.0,251.6128996283208
46,0.03103262799982076,-4109.4,101.47,168.55606900080247
47,0.03146710499981964,-6410.0,159.01,165.67787181315273
48,0.03177931899972464,-4215.8,106.15,172.36839510167653
49,0.03258761199958826,-6496.0,165.0,250.77129914102312
50,0.0328152159995625,-6597.8,167.18,255.01372938948757
51,0.03328453499943862,-5157.2,132.23,262.5717747738903
