iter,time,reward,steps,convergence
1,0.0009626619999778541,-6500.8,112.08,94.1
2,0.001062849999982518,-7082.8,178.98,89.59424265625
3,0.0011651419999623158,-6582.4,166.2,83.05923903011036
4,0.0014107509999519152,-3396.4,89.06,123.15923903011034
5,0.0014723379999566077,-2236.4,60.34,115.3875942690535
6,0.0015380249999452644,-508.8,17.22,146.4080485340587
7,0.001572340999956623,-721.6,22.4,138.12451281466494
8,0.0017408449999720688,-636.8,20.28,132.1435148832825
9,0.0017697609999913766,-743.6,22.88,128.94984934077831
10,0.0018133189999787191,-1959.2,53.2,124.07698706900146
11,0.002281095999990157,-403.2,14.58,121.51700937198561
12,0.0023682209999833503,-1571.2,43.78,118.98518813379167
13,0.002430522999986806,-489.2,16.66,120.06796387897505
14,0.002455700999973942,-474.0,16.28,75.25807233284334
15,0.0024860349999755726,-340.8,13.02,74.55529413222048
16,0.002529351999953633,-319.2,12.48,35.982388578433415
17,0.002573812999941083,-303.2,12.08,36.91326226223379
18,0.0026035689999446276,-411.2,14.78,37.869285724362136
19,0.002659405999935416,-310.4,12.26,38.62487293752106
20,0.0026874379999242137,-293.6,11.84,37.95528157927977
21,0.002729887999919356,-300.0,12.0,37.630162437512155
22,0.002756340999923168,-334.4,12.86,36.8728545599167
23,0.0027901089999318174,-288.8,11.72,34.024924248556864
24,0.0028442569999356238,-303.2,12.08,32.52670550588808
25,0.0029651689999354858,-321.6,12.54,32.95914479059234
26,0.003001474999933862,-294.4,11.86,31.613882573153624
27,0.0030310359999532466,-300.8,12.02,32.17148466040444
28,0.0030589729999519477,-324.8,12.62,30.761184620857826
29,0.0031072689999405156,-391.2,14.28,25.725607768382144
30,0.0031799119999220693,-316.0,12.4,22.776599526634122
31,0.003208781999916255,-281.6,11.54,23.053469158646333
32,0.003245997999897554,-1045.6,30.64,26.897758152739364
33,0.003310879999901317,-297.6,11.94,31.398378322681744
34,0.003339396999905375,-281.6,11.54,29.296555620771347
35,0.003372633999902064,-289.6,11.74,29.168840546915465
36,0.0034724489999007346,-299.2,11.98,31.094939718387963
