iter,time,reward,steps,convergence
1,0.0016885279999883096,-6083.6,154.84,94.1
2,0.0018081739999900037,-6529.2,160.48,87.2
3,0.002163674000001947,-5813.6,146.58,83.4415625
4,0.002303105000009964,-2758.8,72.3,76.339583984375
5,0.002389228000026833,-4380.8,108.92,71.4035475341797
6,0.002509332000016684,-274.4,11.36,63.72930482477741
7,0.00257909300000847,-289.6,11.74,60.201213974252504
8,0.0026571589999946355,-266.4,11.16,52.57050361984675
9,0.0027506609999932152,-588.0,19.06,45.4035704861793
10,0.0027878059999864035,-734.0,22.3,79.45731163204843
11,0.002837502000005543,-499.2,16.98,76.46111275610257
12,0.0028762499999857027,-448.8,15.72,74.95057860177175
13,0.003005988999973397,-589.6,19.1,72.93891255031403
14,0.0031657369999607,-366.4,13.66,75.39435791649518
15,0.0032377629999587043,-453.6,15.36,74.81451917688068
16,0.003291514999972378,-697.6,20.36,74.76796570907138
17,0.0033645509999757905,-805.6,24.02,70.30310137072772
18,0.003397107999973059,-934.8,27.18,71.03279473142524
19,0.0034274089999541957,-923.2,25.52,75.13940865137445
20,0.0034529699999552577,-832.8,23.74,34.450592174574986
21,0.0034832169999674534,-880.8,24.46,36.97656332777161
22,0.0037418399999751273,-312.8,12.32,42.218239681487844
23,0.0039442989999827205,-320.0,12.5,41.21607496909877
24,0.004030513999964569,-1100.8,32.02,43.462608116251786
25,0.0041373599999587896,-295.2,11.88,41.84633543081351
26,0.004362420999967753,-292.0,11.8,47.16713160788191
27,0.0045173999999690295,-325.6,12.64,46.854039101909706
28,0.004616027999958305,-304.0,12.1,46.397148338341744
29,0.004653180999952156,-360.8,13.04,41.04035244460415
30,0.004689466999934666,-291.2,11.78,39.31982290992871
31,0.004737816999949018,-288.8,11.72,37.35677859782437
32,0.004796110999961911,-432.4,15.24,35.42922628071
33,0.004853698999966127,-291.2,11.78,34.28135004672674
34,0.004885566999973889,-304.0,12.1,27.60609579910257
35,0.004927871999967692,-282.4,11.56,26.713243674923387
36,0.005010614999974905,-285.6,11.64,20.27623936428622
37,0.005066214999970953,-298.4,11.96,20.89922331815042
38,0.0051093279999747665,-305.6,12.14,20.605527401852015
39,0.005173535999972501,-304.0,12.1,25.38186875731042
40,0.0052281069999935426,-347.2,13.18,30.01684696647701
41,0.005394492999982958,-308.0,12.2,30.425109614101785
42,0.005469616999960181,-295.2,11.88,28.323263650472803
43,0.005811454999957277,-649.6,18.34,32.16933512816918
44,0.005967887999958066,-470.4,14.34,34.171281478908796
45,0.006029106999960732,-404.8,13.18,34.023448619956426
46,0.006070786999941902,-588.8,14.42,35.44705400368143
47,0.006138182999933406,-544.8,14.28,37.09095620673268
48,0.006209202999940544,-365.6,13.16,38.9981379561661
49,0.00641998099993657,-632.4,18.32,35.13034505255717
50,0.006457318999935069,-312.8,12.32,31.44493914889937
51,0.0065079029999424165,-302.4,12.06,29.84287318707386
52,0.006542252999935272,-313.6,12.34,30.10697009067755
53,0.006591706999927283,-311.2,12.28,26.60214184172139
54,0.0066434659999288215,-292.0,11.8,25.15139057076454
55,0.006680554999917376,-310.4,12.26,28.507262930838454
56,0.006730387999937193,-304.0,12.1,30.31670853920203
57,0.006982651999948075,-272.8,11.32,29.338640386396357
58,0.0070796179999490505,-291.2,11.78,27.68258926681416
59,0.007128542999964793,-292.0,11.8,26.945377613895666
60,0.007207668999939187,-289.6,11.74,30.943034000504746
61,0.007290438999945081,-297.6,11.94,32.06814920281631
62,0.007398518999934822,-407.2,13.72,29.75309200822364
63,0.007491805999933376,-278.4,11.46,29.6064012176593
64,0.007660829999935004,-282.4,11.56,33.61551759607054
65,0.007720983999917053,-449.6,12.86,31.962225326867127
66,0.007774951999920177,-297.6,11.94,32.82863751940176
67,0.007840619999910814,-332.8,12.82,36.7541513964354
68,0.007874389999926734,-348.0,13.2,37.45693245461668
69,0.007935847999931411,-295.2,11.88,37.97167276812344
70,0.007976699999943548,-301.6,12.04,32.98697960597765
71,0.008328252999945107,-1470.4,39.82,37.092828763084874
72,0.008496231999941983,-1060.0,31.0,39.927464720670734
73,0.008562395999945238,-413.6,14.84,42.67653474719511
74,0.008651492999945276,-344.8,13.12,39.790434481808695
75,0.008703924999934998,-436.0,14.92,37.80843530361917
76,0.008807894999932842,-301.6,12.04,36.45053223245344
77,0.008849498999950356,-329.6,12.74,34.15167517903207
78,0.008887827999956244,-333.6,12.84,33.82104944895474
79,0.008936027999936869,-364.8,12.66,37.18270606868548
80,0.009034394999929418,-295.2,11.88,42.58905296363368
81,0.009173168999922154,-1011.2,25.94,38.51630064199456
82,0.00921208199991952,-331.2,12.3,39.586417930681755
83,0.009248534999926505,-460.8,14.1,39.37248217913693
84,0.009300077999910172,-328.8,12.24,44.474899055477096
85,0.009334967999905075,-395.2,13.9,46.10913755656288
86,0.009373616999909018,-453.6,14.4,47.0338285925455
87,0.00941033299989158,-320.0,12.5,45.068768669888776
88,0.00944691299989131,-348.8,12.74,45.40852161080407
89,0.009495880999878636,-331.2,12.78,41.39376063108263
90,0.009559984999867766,-321.6,12.54,39.28682478969452
91,0.009716104999881736,-310.4,12.26,38.0675455522793
92,0.009868516999887333,-311.2,12.28,34.263540373529494
93,0.009942744999875686,-303.2,12.08,33.244775903239784
94,0.010010804999893708,-276.8,11.42,29.419321390175874
95,0.010076060999892889,-432.0,13.86,32.34655930943298
96,0.010150765999895839,-279.2,11.48,30.686922187173195
97,0.010203968999888957,-301.6,12.04,31.281212582459922
98,0.010264846999888277,-310.4,12.26,29.678648894588246
99,0.010317912999880718,-329.6,12.26,30.81348540384778
100,0.010362621999888688,-368.8,13.24,28.116922045012178
101,0.010409702999908177,-281.6,11.54,28.076955268414785
102,0.010486060999909341,-260.8,11.02,28.928832420096143
103,0.01054215599990016,-314.4,12.36,27.273731323179323
104,0.010603574999890952,-336.0,12.9,26.83476624422978
105,0.010638129999904322,-838.4,25.46,26.88653197094346
106,0.010728995999897961,-287.2,11.68,26.552350432214165
107,0.010831423999889012,-471.2,15.8,26.408618415981756
108,0.010905504999897175,-261.6,11.04,29.33014940546617
109,0.0109658109998918,-296.0,11.9,29.278344052917543
110,0.01099833799986527,-311.2,12.28,32.30054647410321
111,0.011036713999885706,-323.2,12.58,32.27921203692078
112,0.011069407999883651,-316.0,12.4,35.57622530219609
113,0.011135685999875022,-364.8,12.66,36.03408124521796
114,0.011205471999858219,-310.4,12.26,36.7555124227404
115,0.011292978999847492,-1597.6,44.44,34.77985029567286
116,0.011463663999847995,-299.2,11.98,38.000862266812405
117,0.011516972999828567,-377.6,13.94,37.02969547570048
118,0.011579436999824111,-1165.2,33.56,34.76720905099649
119,0.01161919899982422,-285.6,11.64,36.953528030848155
120,0.011658673999818348,-292.8,11.82,35.960046062827224
121,0.011686168999801794,-355.2,13.38,35.72987024340438
122,0.011721380999802022,-290.4,11.76,35.51470343006812
123,0.011751098999809528,-385.6,14.14,35.51924829980435
124,0.011798497999819801,-278.4,11.46,34.41357841565654
125,0.011849707999829207,-293.6,11.84,31.34080023596395
126,0.011935117999826161,-301.6,12.04,26.749991770769878
127,0.012133613999822046,-470.0,16.18,26.6313974119325
128,0.012233234999825982,-290.4,11.76,25.255370150600918
129,0.013255905999841389,-291.2,11.78,22.124998031754252
130,0.013370388999845773,-443.6,15.52,24.61345304797973
131,0.013502226999833056,-300.8,12.02,26.4762717244734
132,0.013588197999837348,-306.4,12.16,24.633076889047068
133,0.013676457999849845,-284.8,11.62,24.543135010542876
134,0.013721363999849245,-301.6,12.04,24.34968353325557
135,0.013762666999838302,-264.8,11.12,24.68251902474442
136,0.013816114999855245,-309.6,12.24,28.980898513515523
137,0.013850423999855366,-1780.0,49.0,32.79376332725314
138,0.013911448999863296,-1090.4,31.76,34.576743021612096
