iter,time,reward,steps,convergence
1,0.00024984399999539164,-7999.2,171.04,89.64500000000001
2,0.0004970560000003843,-8185.2,193.5,80.35177887769551
3,0.0006941690000132894,-7696.4,161.76,71.0131399881949
4,0.000971565000014607,-8036.4,165.12,61.84115519842724
5,0.0012208560000317448,-6693.2,169.94,62.04115519842723
6,0.0014872170000330698,-7960.0,200.0,52.69003878517837
7,0.0016584450000323159,-6656.0,168.8,52.890038785178376
8,0.0022725970000294637,-8144.8,193.86,43.93712437342579
9,0.002501802000040243,-8056.0,200.0,34.6212123983604
10,0.002839443000056008,-8456.0,194.92,25.361679052448345
11,0.0034135470000649093,-7816.4,193.74,25.639354699817527
12,0.0037823950000586137,-2165.2,51.36,33.524961116233094
13,0.0038474750000432323,-11415.2,172.3,33.53801104910788
14,0.004036280000065062,-924.0,27.6,33.39292862647179
15,0.004078195000062124,-2714.0,72.28,23.873862230188816
16,0.004283971000063502,-7244.8,181.24,23.823819716284355
17,0.004407921000051829,-2465.2,66.06,14.583985392681091
18,0.004532633000053465,-6004.0,153.06,14.588637786187798
19,0.004628477000068187,-7150.4,180.74,14.720465727402456
20,0.004921760000058839,-2728.8,72.72,14.733738075731605
21,0.005323350000054461,-5826.8,148.22,14.49920656703095
22,0.0054242330000420225,-5621.2,143.28,6.562030533988965
23,0.005575284000030933,-7842.8,192.0,6.407377094171645
24,0.00589798500001848,-1476.4,41.2,6.766655169719529
25,0.006752928000025804,-3245.6,82.06,6.71527158854119
26,0.006808628000044337,-2743.2,70.6,6.546677130107312
27,0.006884773000024325,-8026.4,185.76,6.150622619408429
28,0.006984958000032293,-6425.2,151.16,5.801706541805354
29,0.007019213000035052,-2652.4,66.2,6.022134099252304
30,0.007418422000029068,-7945.2,193.12,6.1391411677213314
31,0.007481980000022759,-1752.4,37.06,6.0913173874933175
32,0.007518726000029119,-10825.2,162.42,5.7677753106094585
33,0.007742520000022068,-1091.6,30.76,5.578658402623661
34,0.00825431000001231,-1820.0,49.52,4.816252905688231
35,0.008309272000019519,-391.2,14.28,4.538710178041589
36,0.008486782000005633,-2315.2,60.04,4.659542406584866
37,0.008608022999993636,-613.6,19.22,14.204531240887018
38,0.00868384400001787,-3184.4,81.14,13.75536090344546
39,0.00875565100002973,-396.8,14.42,13.525996028537202
40,0.008795754000033185,-764.0,23.46,13.25370892387113
41,0.009183861000025217,-1076.0,28.38,12.998686135487883
42,0.009510274000035679,-624.0,20.1,13.205300581202199
43,0.009589553000040496,-683.2,20.62,14.09373166883957
44,0.009811714000051097,-516.0,17.4,14.595692465084117
45,0.009907477000069775,-572.0,18.8,15.09635640267311
46,0.009966431000066223,-399.2,14.48,15.30857197964715
47,0.010011735000063027,-507.2,17.18,6.094900376818428
48,0.010085608000082402,-681.2,20.02,6.174304521097675
49,0.010153611000077944,-353.6,13.34,5.6970660727629205
50,0.010236495000100376,-748.4,22.66,5.732689385264711
51,0.010296800000105577,-422.4,15.06,5.7047013501878086
52,0.010411328000088815,-319.2,12.48,5.8473017711779445
53,0.010455775000082213,-464.4,16.04,5.3719039850839705
54,0.01052429100008112,-352.0,13.3,5.172479819450766
55,0.010630753000100412,-305.6,12.14,4.833486379596018
56,0.010733510000079605,-305.6,12.14,5.3692452434409095
57,0.010782054000088692,-274.4,11.36,4.823808932663928
58,0.010849368000094728,-424.8,15.12,5.413575075742578
59,0.010982326000089415,-379.2,13.98,5.722380555143391
60,0.011130121000064719,-884.8,26.62,5.755478285047813
61,0.011230669000070748,-2410.0,64.68,5.926966452754302
62,0.011272150000081638,-357.6,13.44,6.1868303017768635
63,0.011301009000078466,-543.6,18.02,6.260806404035503
64,0.011350769000074479,-372.0,13.8,6.2653153431912525
65,0.011375976000067567,-632.0,20.16,6.097392553637904
66,0.011445094000066547,-634.4,20.22,5.285549934164693
67,0.012215756000074407,-747.2,23.04,5.470289150168915
68,0.012357440000073439,-674.4,20.26,5.0170028010968695
69,0.012440551000082678,-4004.8,96.98,4.977108443245018
70,0.012741920000081564,-1457.2,38.04,5.0352013545717735
71,0.01279590000007147,-5880.8,149.84,13.7670670334889
72,0.012997024000071633,-272.8,11.32,13.702896701189285
73,0.013048211000068477,-317.6,12.44,13.219988984839807
74,0.01310181600007354,-297.6,11.94,13.138968890640053
75,0.013158922000059192,-290.4,11.76,13.378023671787338
76,0.013324903000039967,-2291.6,61.3,13.474581973451723
77,0.01336839800003986,-2510.8,66.78,14.119579827786765
78,0.013568401000043195,-3186.8,83.12,14.649431672653751
79,0.01384413100004167,-865.6,25.04,14.979326146301592
80,0.013965239000043539,-1237.6,34.2,15.104455216885771
81,0.014026133000044183,-619.6,19.44,6.423432576610601
82,0.014069541000054642,-294.4,11.86,6.3103720872489815
83,0.01410776900004862,-310.4,12.26,6.447373884490851
84,0.014188940000053663,-463.2,16.08,7.191740631567468
85,0.014279808000054572,-281.6,11.54,7.074008742754043
86,0.014313556000047356,-958.4,28.46,7.550061259797408
87,0.014431858000023112,-364.8,13.62,6.848154148250932
88,0.014547876000023052,-508.0,14.32,6.856427934127472
89,0.014626205000013215,-457.2,15.86,6.53646214756769
90,0.014707635999997137,-393.6,14.34,6.203902847133412
91,0.014790711999978612,-384.8,14.12,5.960084591619922
92,0.014842936999997391,-327.2,12.68,6.372157247954943
93,0.014875223000018423,-355.2,13.38,6.795469817855621
94,0.014954241000026514,-344.0,13.1,5.8583967564727
95,0.015016653000031965,-360.8,13.52,6.1479295104605765
96,0.015088351000031253,-501.6,17.04,5.509799970792143
97,0.015140219000016941,-436.0,14.92,5.610913553677108
98,0.015191498000007186,-358.4,13.46,5.165065788358327
99,0.015223558000002413,-384.8,14.12,5.748095855273991
100,0.015289469999999028,-288.8,11.72,5.807671392383282
101,0.015333058999999594,-414.4,14.86,6.30106229566726
102,0.015377991000008251,-277.6,11.44,5.43617437246646
103,0.015421261000028608,-420.0,15.0,5.339231369751856
104,0.015470534000030511,-360.8,13.52,5.976295535819403
105,0.015522965000030808,-634.4,19.88,5.805329811200082
106,0.01556978700003242,-306.4,12.16,6.643857796429984
107,0.015659359000011364,-305.6,12.14,7.050398042923385
108,0.01573779000000286,-408.0,14.7,6.91057559907645
109,0.01580535900001223,-393.6,14.34,6.500487722018673
110,0.015847402000019883,-322.4,12.56,6.497654928360916
111,0.015874459000031038,-348.8,13.22,6.014621955657065
112,0.015914046000034432,-391.2,14.28,6.7051846995402276
113,0.01595094800003949,-328.0,12.7,6.389458162473745
114,0.016173460000032946,-297.6,11.94,6.20420808774171
115,0.016312515000038275,-289.6,11.74,6.133827064127404
116,0.016358065000019906,-363.2,13.58,5.767079870215893
117,0.016427366000016264,-306.4,12.16,5.770124806624684
118,0.01656402200001139,-303.2,12.08,6.442895113860156
119,0.016649155000010296,-1020.0,30.0,6.222494682190742
120,0.016729209999994055,-429.6,15.24,6.306438165884181
121,0.016781180999998924,-310.4,12.26,6.370392601162349
122,0.01680854400001408,-296.0,11.9,6.106933517239634
123,0.016848647000017536,-293.6,11.84,6.610195415530879
124,0.016875519000024042,-453.2,15.76,6.174759001729209
125,0.01691325800001664,-300.8,12.02,6.204990622711696
126,0.01696570900000438,-280.8,11.52,5.949276917311849
127,0.01701135199999726,-430.4,14.78,6.099227161832681
128,0.01705394899997259,-287.2,11.68,5.462736525421521
129,0.017112456999967662,-293.6,11.84,5.60647944304988
130,0.0171624929999723,-314.4,12.36,5.264507638120958
131,0.0174688079999612,-340.8,13.02,5.566620933901886
132,0.017537572999970052,-312.8,12.32,5.625793736812337
133,0.01758081099995934,-293.6,11.84,4.994933016196743
134,0.017616085999947018,-280.8,11.52,5.67355287287282
135,0.017666788999946448,-281.6,11.54,5.443091440952211
136,0.0177063409999505,-303.2,12.08,5.168986632127707
137,0.01774349599995162,-318.4,12.46,4.770548672476584
138,0.017828422999969007,-292.8,11.82,4.744960598340941
139,0.01786441499996272,-459.2,15.98,4.498188371091062
140,0.017898212999966745,-328.8,12.72,4.529895362743057
141,0.01793204899996681,-407.2,14.68,4.630914288871433
142,0.018052178999965918,-324.8,12.62,5.000235968438066
143,0.018182149999972808,-386.4,14.16,5.1690389266652925
144,0.018250833999985616,-534.4,17.86,5.267606135331923
145,0.01828332899998486,-597.2,19.36,5.557678678301803
146,0.018344401999996762,-301.6,12.04,5.605983294755671
147,0.018423952999995663,-372.8,13.82,5.952971933676579
148,0.018462885999980472,-453.6,15.84,6.354904591008865
149,0.01848993599998039,-304.0,12.1,6.806495937124852
150,0.018537113999968824,-307.2,12.18,6.920549161721768
151,0.018636149999963436,-476.0,15.44,6.576957829321898
152,0.018689627999947334,-312.8,12.32,5.81476819054515
153,0.018763350999961403,-292.0,11.8,6.637733300792088
